Config_ID,Config_Name,Index_Type,Datastore,Compression,Query_Processing,Optimization,Index_Time_Seconds,Latency_Mean_ms,Latency_P50_ms,Latency_P95_ms,Latency_P99_ms,Latency_Min_ms,Latency_Max_ms,Throughput_Single_Thread_QPS,Throughput_Multi_Thread_QPS,Throughput_Speedup_Factor,Memory_Index_Size_MB,Memory_Docs_Per_MB,Memory_Growth_MB,Functional_MAP,Functional_Recall,Functional_F1_Score,Functional_NDCG,Functional_Coverage_Rate,Latency_Boolean_Queries_Mean_ms,Latency_Boolean_Queries_P95_ms,Latency_Common_Terms_Mean_ms,Latency_Common_Terms_P95_ms,Latency_Empty_No_Results_Mean_ms,Latency_Empty_No_Results_P95_ms,Latency_Long_Queries_Mean_ms,Latency_Long_Queries_P95_ms,Latency_Multi_Term_Mean_ms,Latency_Multi_Term_P95_ms,Latency_Phrase_Queries_Mean_ms,Latency_Phrase_Queries_P95_ms,Latency_Rare_Terms_Mean_ms,Latency_Rare_Terms_P95_ms,Latency_Single_Term_Mean_ms,Latency_Single_Term_P95_ms
1,SelfIndex_001_BOOL_CUST_NONE_Null_TERM,BOOLEAN,CUSTOM,NONE,TERMatat,Null,48.73,24.41,14.9,106.54,120.16,0.05,127.4,50.97,30.34,0.595,344.88,144.98,3809.8,0.2667,0.8056,0.3993,0.4715,1.0,23.62,37.31,16.31,30.32,0.07,0.1,110.06,124.87,31.38,54.33,21.58,40.71,0.75,1.82,11.93,21.37
2,SelfIndex_002_BOOL_CUST_NONE_Null_DOCa,BOOLEAN,CUSTOM,NONE,DOCatat,Null,40.62,27.51,16.2,127.47,136.9,0.06,140.49,47.4,28.71,0.606,344.88,144.98,3726.33,0.2667,0.8056,0.3993,0.4715,1.0,27.03,43.29,16.89,32.18,0.08,0.11,128.6,139.24,34.12,61.4,24.0,46.24,0.68,1.63,13.29,25.0
3,SelfIndex_003_BOOL_CUST_NONE_Skip_TERM,BOOLEAN,CUSTOM,NONE,TERMatat,Skipping,41.02,24.52,15.1,109.88,117.57,0.05,121.56,8.35,43.26,5.182,349.58,143.03,3661.7,0.2667,0.8056,0.3993,0.4715,1.0,22.97,36.55,15.69,29.31,0.08,0.1,110.88,120.17,31.67,55.94,22.66,43.64,0.69,1.66,11.97,21.51
4,SelfIndex_004_BOOL_CUST_NONE_Skip_DOCa,BOOLEAN,CUSTOM,NONE,DOCatat,Skipping,41.1,11.67,10.73,34.9,41.94,0.05,43.14,2.56,58.87,23.012,349.58,143.03,3632.6,0.2667,0.8056,0.3993,0.4715,1.0,13.48,23.04,13.24,24.56,0.07,0.1,34.13,42.72,13.99,28.67,11.08,22.0,0.56,1.31,9.54,16.79
5,SelfIndex_005_BOOL_CUST_CODE_Null_TERM,BOOLEAN,CUSTOM,CODE,TERMatat,Null,69.41,26.38,15.74,120.84,133.97,0.06,139.49,20.11,41.81,2.079,485.41,103.01,6841.62,0.1667,0.5278,0.2527,0.3082,1.0,22.98,37.17,17.07,32.1,0.08,0.11,124.14,137.57,34.33,64.83,21.68,41.6,0.74,1.78,13.24,23.81
6,SelfIndex_006_BOOL_CUST_CODE_Null_DOCa,BOOLEAN,CUSTOM,CODE,DOCatat,Null,68.0,29.98,17.2,140.26,154.99,0.06,161.91,13.47,39.69,2.947,485.41,103.01,6766.63,0.2667,0.8056,0.3993,0.4715,1.0,27.09,44.42,18.27,34.72,0.09,0.11,144.02,159.5,39.12,76.71,23.95,47.45,0.75,1.82,14.34,26.33
7,SelfIndex_007_BOOL_CUST_CODE_Skip_TERM,BOOLEAN,CUSTOM,CODE,TERMatat,Skipping,71.77,26.55,14.94,123.7,134.96,0.06,140.55,14.41,37.66,2.614,485.41,103.01,6689.6,0.1667,0.5278,0.2527,0.3082,1.0,23.39,37.63,17.12,32.62,0.08,0.1,125.96,138.6,34.5,64.87,21.89,42.79,0.72,1.76,12.7,23.53
8,SelfIndex_008_BOOL_CUST_CODE_Skip_DOCa,BOOLEAN,CUSTOM,CODE,DOCatat,Skipping,67.46,13.26,10.75,46.49,49.21,0.05,49.51,33.74,75.61,2.241,485.41,103.01,6632.75,0.2667,0.8056,0.3993,0.4715,1.0,12.72,21.49,13.96,25.73,0.07,0.09,44.26,49.41,17.33,39.17,10.79,21.91,0.73,2.08,10.7,19.41
9,SelfIndex_009_BOOL_CUST_CLIB_Null_TERM,BOOLEAN,CUSTOM,CLIB,TERMatat,Null,64.98,18.58,12.01,80.26,94.08,0.06,97.54,31.39,19.08,0.608,227.65,219.64,3652.32,0.2667,0.8056,0.3993,0.4715,1.0,15.31,24.45,12.07,21.92,0.08,0.1,86.28,96.33,25.32,48.38,14.26,26.33,0.67,1.64,10.23,18.74
10,SelfIndex_010_BOOL_CUST_CLIB_Null_DOCa,BOOLEAN,CUSTOM,CLIB,DOCatat,Null,67.88,32.56,12.27,89.61,364.73,0.05,397.47,20.58,19.02,0.924,227.65,219.64,3650.96,0.2667,0.8056,0.3993,0.4715,1.0,16.19,26.62,62.32,246.52,0.07,0.1,163.37,351.38,25.17,47.89,14.37,27.01,0.71,1.72,10.33,19.02
