Config_ID,Config_Name,Index_Type,Datastore,Compression,Query_Processing,Optimization,Index_Time_Seconds,Latency_Mean_ms,Latency_P50_ms,Latency_P95_ms,Latency_P99_ms,Latency_Min_ms,Latency_Max_ms,Throughput_Single_Thread_QPS,Throughput_Multi_Thread_QPS,Throughput_Speedup_Factor,Memory_Index_Size_MB,Memory_Docs_Per_MB,Memory_Growth_MB,Functional_MAP,Functional_Recall,Functional_F1_Score,Functional_NDCG,Functional_Coverage_Rate,Latency_Boolean_Queries_Mean_ms,Latency_Boolean_Queries_P95_ms,Latency_Common_Terms_Mean_ms,Latency_Common_Terms_P95_ms,Latency_Empty_No_Results_Mean_ms,Latency_Empty_No_Results_P95_ms,Latency_Long_Queries_Mean_ms,Latency_Long_Queries_P95_ms,Latency_Multi_Term_Mean_ms,Latency_Multi_Term_P95_ms,Latency_Phrase_Queries_Mean_ms,Latency_Phrase_Queries_P95_ms,Latency_Rare_Terms_Mean_ms,Latency_Rare_Terms_P95_ms,Latency_Single_Term_Mean_ms,Latency_Single_Term_P95_ms
1,SelfIndex_001_BOOL_CUST_NONE_Null_TERM,BOOLEAN,CUSTOM,NONE,TERMatat,Null,45.16,24.01,14.79,106.64,117.11,0.05,119.53,50.61,29.23,0.578,344.88,144.98,3809.71,0.2667,0.8056,0.3993,0.4715,1.0,23.3,37.25,15.83,29.57,0.08,0.1,108.93,118.69,30.52,53.61,21.39,40.64,0.68,1.64,11.68,21.0
2,SelfIndex_002_BOOL_CUST_NONE_Null_DOCa,BOOLEAN,CUSTOM,NONE,DOCatat,Null,40.41,59.6,23.19,375.51,411.12,0.05,427.41,35.82,30.84,0.861,344.88,144.98,3723.92,0.2667,0.8056,0.3993,0.4715,1.0,45.45,75.02,22.83,42.03,0.07,0.1,377.75,421.73,62.56,109.99,37.53,70.38,0.83,2.17,17.68,30.96
3,SelfIndex_003_BOOL_CUST_NONE_Skip_TERM,BOOLEAN,CUSTOM,NONE,TERMatat,Skipping,40.33,24.6,15.65,107.74,124.23,0.05,129.6,2.19,41.88,19.109,349.58,143.03,3665.19,0.2667,0.8056,0.3993,0.4715,1.0,23.3,36.94,15.87,29.7,0.08,0.11,113.76,127.73,30.78,54.36,21.49,40.72,0.69,1.69,12.23,21.89
4,SelfIndex_004_BOOL_CUST_NONE_Skip_DOCa,BOOLEAN,CUSTOM,NONE,DOCatat,Skipping,42.33,11.59,10.73,36.13,40.84,0.05,42.79,32.59,61.34,1.882,349.58,143.03,3658.13,0.2667,0.8056,0.3993,0.4715,1.0,13.13,22.26,13.1,24.24,0.07,0.09,33.78,42.11,14.01,29.05,11.19,22.56,0.56,1.3,9.5,16.52
5,SelfIndex_005_BOOL_CUST_CODE_Null_TERM,BOOLEAN,CUSTOM,CODE,TERMatat,Null,72.15,27.28,15.8,128.11,141.35,0.06,147.0,18.51,43.78,2.365,485.44,103.0,6402.4,0.3,0.8611,0.4432,0.4611,1.0,23.01,37.33,17.08,32.46,0.08,0.11,130.59,145.03,35.48,66.2,22.61,45.23,0.97,2.28,13.26,24.69
6,SelfIndex_006_BOOL_CUST_CODE_Null_DOCa,BOOLEAN,CUSTOM,CODE,DOCatat,Null,69.06,63.41,23.35,398.84,443.76,0.06,462.73,18.98,28.65,1.51,485.44,103.0,6785.39,0.2667,0.8056,0.3993,0.4715,1.0,45.19,74.37,24.33,45.27,0.1,0.14,405.92,456.11,67.72,123.96,38.78,72.92,0.87,2.27,18.76,33.54
7,SelfIndex_007_BOOL_CUST_CODE_Skip_TERM,BOOLEAN,CUSTOM,CODE,TERMatat,Skipping,65.46,26.55,15.03,124.09,137.03,0.06,142.97,14.26,9.79,0.687,485.44,103.0,6729.18,0.3,0.8611,0.4432,0.4611,1.0,23.03,37.61,17.03,32.5,0.08,0.11,126.75,140.9,34.23,64.57,21.78,42.4,0.71,1.72,12.88,23.73
8,SelfIndex_008_BOOL_CUST_CODE_Skip_DOCa,BOOLEAN,CUSTOM,CODE,DOCatat,Skipping,66.49,13.42,11.0,46.6,49.21,0.05,50.79,41.78,71.2,1.704,485.44,103.0,6630.19,0.2667,0.8056,0.3993,0.4715,1.0,12.83,21.73,14.18,25.64,0.08,0.1,44.68,50.24,17.45,39.06,10.71,21.6,0.56,1.34,11.22,21.26
9,SelfIndex_009_BOOL_CUST_CLIB_Null_TERM,BOOLEAN,CUSTOM,CLIB,TERMatat,Null,65.18,18.95,11.88,81.68,95.23,0.05,100.01,31.72,17.77,0.56,227.65,219.64,3650.41,0.2667,0.8056,0.3993,0.4715,1.0,15.66,25.33,12.23,22.01,0.08,0.1,87.4,98.34,25.71,48.57,14.93,27.83,0.7,1.73,10.54,20.4
10,SelfIndex_010_BOOL_CUST_CLIB_Null_DOCa,BOOLEAN,CUSTOM,CLIB,DOCatat,Null,68.03,53.24,18.76,339.58,388.75,0.05,410.19,30.66,21.38,0.697,227.65,219.64,3655.67,0.2667,0.8056,0.3993,0.4715,1.0,39.21,66.66,19.19,34.7,0.09,0.12,350.97,402.71,54.69,100.3,28.9,54.39,0.79,2.05,15.13,27.32
11,SelfIndex_011_BOOL_CUST_CLIB_Skip_TERM,BOOLEAN,CUSTOM,CLIB,TERMatat,Skipping,69.12,18.69,11.99,80.93,100.9,0.05,109.42,28.9,17.98,0.622,227.65,219.64,3594.57,0.2667,0.8056,0.3993,0.4715,1.0,14.96,23.48,12.13,22.73,0.07,0.09,89.33,106.45,24.7,47.24,13.68,25.5,0.69,1.67,10.33,18.76
12,SelfIndex_012_BOOL_CUST_CLIB_Skip_DOCa,BOOLEAN,CUSTOM,CLIB,DOCatat,Skipping,69.44,8.94,7.52,26.99,31.71,0.05,33.47,84.91,43.13,0.508,227.65,219.64,3526.8,0.2667,0.8056,0.3993,0.4715,1.0,7.63,12.52,10.73,19.97,0.06,0.08,25.98,29.04,12.18,28.57,6.21,12.2,0.57,1.37,9.14,16.92
13,SelfIndex_013_BOOL_DB1_NONE_Null_TERM,BOOLEAN,DB1,NONE,TERMatat,Null,42.43,24.25,14.53,107.88,117.37,0.06,120.19,41.67,42.48,1.019,484.64,103.17,3325.09,0.2667,0.8056,0.3993,0.4715,1.0,23.88,39.81,15.82,29.79,0.08,0.1,109.7,119.21,30.48,54.31,21.3,40.6,0.68,1.63,12.37,22.72
14,SelfIndex_014_BOOL_DB1_NONE_Null_DOCa,BOOLEAN,DB1,NONE,DOCatat,Null,39.46,107.76,22.27,390.14,1411.73,0.05,2153.59,36.15,28.48,0.788,484.64,103.17,3244.0,0.2667,0.8056,0.3993,0.4715,1.0,45.59,75.7,22.96,42.24,0.07,0.09,379.17,422.62,415.51,1646.77,37.59,70.47,0.82,2.15,16.91,30.43
15,SelfIndex_015_BOOL_DB1_NONE_Skip_TERM,BOOLEAN,DB1,NONE,TERMatat,Skipping,41.06,24.18,14.51,108.09,117.6,0.06,120.8,11.46,41.66,3.637,490.07,102.03,3215.26,0.2667,0.8056,0.3993,0.4715,1.0,23.45,37.28,16.04,30.55,0.08,0.1,109.79,119.68,30.66,54.55,21.31,40.67,0.68,1.63,11.88,21.82
16,SelfIndex_016_BOOL_DB1_NONE_Skip_DOCa,BOOLEAN,DB1,NONE,DOCatat,Skipping,40.27,11.73,10.68,36.39,40.81,0.05,42.69,2.28,61.94,27.15,490.07,102.03,3194.38,0.2667,0.8056,0.3993,0.4715,1.0,13.47,23.09,13.64,25.02,0.07,0.09,33.97,42.03,13.97,28.66,11.18,22.29,0.55,1.31,9.6,17.12
17,SelfIndex_017_BOOL_DB1_CODE_Null_TERM,BOOLEAN,DB1,CODE,TERMatat,Null,67.01,26.58,15.06,123.28,133.92,0.06,138.83,19.83,37.25,1.878,642.35,77.84,6350.82,0.3,0.8611,0.4432,0.4611,1.0,23.23,37.75,17.09,32.5,0.08,0.11,125.27,137.12,34.74,65.6,21.8,42.45,0.75,1.84,13.23,26.48
18,SelfIndex_018_BOOL_DB1_CODE_Null_DOCa,BOOLEAN,DB1,CODE,DOCatat,Null,67.15,63.58,23.16,401.82,444.36,0.05,462.99,17.67,31.24,1.768,642.35,77.84,6281.32,0.2667,0.8056,0.3993,0.4715,1.0,44.92,75.53,24.35,45.03,0.08,0.1,407.6,456.49,68.77,125.22,38.52,73.47,0.88,2.32,18.4,33.47
19,SelfIndex_019_BOOL_DB1_CODE_Skip_TERM,BOOLEAN,DB1,CODE,TERMatat,Skipping,64.36,26.51,14.92,123.3,134.23,0.06,139.92,13.86,8.56,0.618,642.35,77.84,6279.78,0.3,0.8611,0.4432,0.4611,1.0,23.17,37.56,17.08,32.55,0.08,0.11,125.33,137.94,35.23,66.5,21.93,42.93,0.71,1.72,12.44,23.05
20,SelfIndex_020_BOOL_DB1_CODE_Skip_DOCa,BOOLEAN,DB1,CODE,DOCatat,Skipping,66.57,13.27,11.16,46.9,48.87,0.05,49.44,37.56,77.47,2.063,642.35,77.84,6228.05,0.2667,0.8056,0.3993,0.4715,1.0,12.87,21.67,14.01,25.42,0.08,0.1,44.19,49.24,17.39,39.58,10.74,21.65,0.73,2.12,10.68,19.46
